index,state,year,gas_consumption (BBtu),coal_consumption (BBtu),renewable_consumption (BBtu),petroleum_consumption (BBtu),nuclear_consumption (BBtu),expenditures (M dollars),price (dollars per MBtu)
155,US,2003,22822564.0,22322634.0,5944059.0,38713457.0,7959622.0,755070.3,11.44
156,AK,2004,407944.0,14075.0,18876.0,334121.0,0.0,4148.2,11.07
157,AL,2004,391927.0,853917.0,293280.0,609981.0,329898.0,15099.3,11.27
158,AR,2004,217921.0,270210.0,112971.0,361081.0,161111.0,8491.9,11.96
159,AZ,2004,356264.0,425413.0,82473.0,558357.0,293158.0,13848.2,15.36
160,CA,2004,2462247.0,68909.0,768889.0,3670782.0,315634.0,89950.2,15.17
161,CO,2004,440720.0,390186.0,29099.0,490984.0,0.0,11807.9,12.48
162,CT,2004,165862.0,43997.0,42965.0,451366.0,172470.0,10599.9,15.94
163,DC,2004,33097.0,741.0,943.0,30534.0,0.0,1714.9,16.74
164,DE,2004,49722.0,53599.0,1436.0,127465.0,0.0,2439.8,14.01
165,FL,2004,757672.0,699055.0,179495.0,2095087.0,325516.0,41130.8,15.21
166,GA,2004,406436.0,834991.0,226761.0,1079645.0,351921.0,25535.2,12.42
167,HI,2004,155.0,17913.0,13786.0,282864.0,0.0,4024.6,17.73
168,IA,2004,198017.0,443221.0,111271.0,414787.0,51399.0,10009.4,11.9
169,ID,2004,78273.0,12336.0,112080.0,156496.0,0.0,3740.4,11.68
170,IL,2004,955972.0,1069538.0,126588.0,1285139.0,959869.0,33593.6,12.47
171,IN,2004,526391.0,1614210.0,58085.0,865025.0,0.0,20730.1,10.19
172,KS,2004,260117.0,385498.0,19571.0,412120.0,105664.0,8795.6,12.56
173,KY,2004,233361.0,961759.0,71188.0,703989.0,0.0,13524.0,11.08
174,LA,2004,1393140.0,256716.0,189772.0,2065896.0,178110.0,28745.7,10.12
175,MA,2004,383625.0,105075.0,51781.0,736401.0,61928.0,17815.8,16.33
176,MD,2004,201801.0,327239.0,53460.0,590242.0,152043.0,14113.4,13.87
177,ME,2004,89581.0,7336.0,136776.0,260353.0,0.0,4655.4,12.55
178,MI,2004,938628.0,773825.0,118153.0,979694.0,318700.0,26772.5,12.14
179,MN,2004,362346.0,378775.0,114862.0,688025.0,138645.0,15167.2,12.14
180,MO,2004,268289.0,807466.0,44121.0,744126.0,81658.0,16239.4,12.71
181,MS,2004,290512.0,184992.0,61297.0,480422.0,106707.0,9494.9,12.56
182,MT,2004,68567.0,195620.0,101639.0,176136.0,0.0,3173.0,12.37
183,NC,2004,232214.0,782692.0,147627.0,930984.0,418065.0,23221.1,13.92
184,ND,2004,56410.0,398381.0,24137.0,133016.0,0.0,2537.8,8.77
185,NE,2004,116006.0,223624.0,52142.0,233553.0,106796.0,5404.9,12.21
186,NH,2004,63829.0,43446.0,34926.0,205481.0,106132.0,3948.8,15.58
187,NJ,2004,644467.0,112707.0,27603.0,1164799.0,282407.0,26164.3,14.31
188,NM,2004,229164.0,309418.0,11714.0,255866.0,0.0,5203.6,13.56
189,NV,2004,221648.0,193634.0,38001.0,260161.0,0.0,7056.0,15.68
190,NY,2004,1126597.0,276470.0,383432.0,1823746.0,423797.0,48172.5,15.67
191,OH,2004,862397.0,1391290.0,66807.0,1303260.0,166328.0,34592.2,12.84
192,OK,2004,555273.0,372093.0,62153.0,526834.0,0.0,11306.6,12.33
193,OR,2004,238049.0,36460.0,387006.0,368456.0,0.0,9090.6,13.21
194,PA,2004,723189.0,1474310.0,118023.0,1475233.0,807739.0,35785.3,13.13
195,RI,2004,74352.0,76.0,4535.0,98408.0,0.0,2637.9,16.01
196,SC,2004,169518.0,433868.0,97441.0,569746.0,533920.0,13170.8,12.4
197,SD,2004,41757.0,43562.0,60251.0,113059.0,0.0,2355.8,12.8
198,TN,2004,238761.0,648005.0,179906.0,765424.0,298369.0,17442.0,12.17
199,TX,2004,4039787.0,1626029.0,123497.0,6161669.0,421660.0,98235.3,11.41
200,UT,2004,164154.0,399704.0,10715.0,277475.0,0.0,5653.1,11.39
201,VA,2004,285607.0,452557.0,117963.0,995785.0,295272.0,21026.2,12.67
202,VT,2004,8708.0,25.0,22042.0,95317.0,40231.0,1988.3,15.96
203,WA,2004,269572.0,112539.0,819551.0,749526.0,93660.0,15460.0,13.06
204,WI,2004,385999.0,499212.0,108704.0,606012.0,123966.0,16025.9,12.75
205,WV,2004,129358.0,937062.0,20765.0,230361.0,0.0,5385.5,10.85
206,WY,2004,111878.0,500526.0,14039.0,153076.0,0.0,2859.7,10.31
207,US,2004,22927283.0,22464302.0,6074599.0,40148362.0,8222774.0,871210.2,12.9
208,AK,2005,434704.0,13994.0,15930.0,333091.0,0.0,5215.8,13.99
209,AL,2005,363398.0,890098.0,279983.0,606840.0,330761.0,18088.3,13.56
210,AR,2005,216600.0,247169.0,112738.0,358312.0,142864.0,10416.1,14.46
211,AZ,2005,329302.0,428445.0,92285.0,573763.0,269327.0,16665.8,17.87
212,CA,2005,2304463.0,67422.0,819440.0,3741092.0,377313.0,103574.2,17.46
213,CO,2005,478520.0,386670.0,35558.0,489645.0,0.0,14654.8,15.15
214,CT,2005,171150.0,42023.0,29171.0,443947.0,162406.0,12423.7,19.62
215,DC,2005,33753.0,939.0,263.0,28656.0,0.0,2013.0,20.08
216,DE,2005,48639.0,56716.0,1886.0,135389.0,0.0,2937.2,16.48
217,FL,2005,805446.0,672309.0,187675.0,2130793.0,300127.0,49999.0,17.97
218,GA,2005,427825.0,901010.0,218423.0,1120350.0,329092.0,32370.7,15.29
219,HI,2005,195.0,16506.0,14186.0,293847.0,0.0,4996.9,21.39
220,IA,2005,210742.0,429777.0,124866.0,428465.0,47362.0,12256.1,14.3
221,ID,2005,78118.0,11286.0,122267.0,159726.0,0.0,4531.4,13.65
222,IL,2005,972710.0,1047532.0,109784.0,1403414.0,973293.0,41443.4,14.75
223,IN,2005,535512.0,1594399.0,63826.0,859731.0,0.0,25074.3,12.6
224,KS,2005,258695.0,379823.0,22986.0,341906.0,92055.0,9303.3,14.9
225,KY,2005,240853.0,986263.0,74724.0,697645.0,0.0,16633.5,13.57
226,LA,2005,1367497.0,253518.0,151854.0,1975571.0,163598.0,35459.1,13.13
227,MA,2005,386339.0,119333.0,46953.0,737337.0,57138.0,21568.6,19.51
228,MD,2005,211830.0,329304.0,48562.0,603981.0,153443.0,17428.9,16.83
229,ME,2005,64818.0,7059.0,160078.0,263938.0,0.0,5619.3,14.89
230,MI,2005,927535.0,799463.0,130906.0,978894.0,343048.0,32127.3,14.53
231,MN,2005,372082.0,379114.0,123801.0,700917.0,133948.0,18259.1,14.45
232,MO,2005,273386.0,835663.0,54637.0,741961.0,83807.0,19679.0,15.12
233,MS,2005,310713.0,176286.0,62951.0,455899.0,105172.0,11395.5,15.37
234,MT,2005,71089.0,199495.0,114898.0,182921.0,0.0,4036.5,14.89
235,NC,2005,237525.0,811939.0,147480.0,947056.0,417249.0,27966.3,16.51
236,ND,2005,49643.0,431133.0,22847.0,136531.0,0.0,3123.2,10.5
237,NE,2005,120125.0,228667.0,51713.0,228762.0,91856.0,6448.0,14.69
