state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,non_renewable_gen,non_renewable_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu),all_generation,all_consumption
MO,2003,0,265133,11380,795634,505,739036,101089,101089,112974,1900892,31603,34678,14446.7,11.36,144577,1935570
MS,2003,157366,275147,37626,178949,111946,480507,113625,113625,420563,1048228,45346,45369,8286.9,11.01,465909,1093597
MT,2003,88966,70048,665901,188981,112636,157136,0,0,867503,416165,100370,100455,2581.8,10.79,967873,516620
NC,2003,0,227387,0,771618,0,900018,426332,426332,426332,2325355,181552,188855,20310.3,12.29,607884,2514210
ND,2003,67756,56088,402709,420832,170584,121722,0,0,641049,598642,26158,24205,2104.2,7.39,667207,622847
NE,2003,1464,119741,0,227290,15967,229099,83344,83344,100775,659474,73956,45556,4745.3,10.8,174731,705030
NH,2003,0,56415,0,41633,0,200220,96677,96677,96677,394945,29849,29851,3457.3,14.15,126526,424796
NJ,2003,0,635689,0,106857,0,1146359,309629,309629,309629,2198534,26707,26805,21977,12.17,336336,2225339
NM,2003,1799677,225220,490629,305641,386216,248457,0,0,2676522,779318,9554,8743,4456.7,11.93,2686076,788061
NV,2003,6,191050,0,182553,2859,239284,0,0,2865,612887,33578,37158,5811.1,13.88,36443,650045
NY,2003,37113,1131344,0,286179,829,1760002,423959,423959,461901,3601484,357371,359374,43362.8,14.44,819272,3960858
OH,2003,97106,877891,539441,1443498,32816,1303901,88327,88327,757690,3713617,47969,63646,31148.7,11.49,805659,3777263
OK,2003,1723722,556306,37411,393790,376513,545461,0,0,2137646,1495557,41954,42001,10175.5,10.89,2179600,1537558
OR,2003,740,215102,0,44884,0,358058,0,0,740,618044,384479,386713,7962.9,11.97,385219,1004757
PA,2003,167346,717461,1599175,1461986,14303,1446911,774989,774989,2555813,4401347,109946,110613,32032.2,11.81,2665759,4511960
RI,2003,0,80339,0,101,0,102986,0,0,0,183426,3787,3827,2400.1,14.28,3787,187253
SC,2003,0,151904,0,419663,0,495840,525453,525453,525453,1592860,103796,103801,11025,11.1,629249,1696661
SD,2003,1104,43868,0,43017,7175,112417,0,0,8279,199302,67639,57222,2085.8,11.17,75918,256524
TN,2003,1862,265806,65617,621425,1804,755961,251718,251718,321001,1894910,190000,184237,15251.3,10.63,511001,2079147
TX,2003,5902223,4177143,594734,1603971,2323851,5978967,348485,348485,9169293,12108566,115456,117593,83176.3,9.76,9284749,12226159
UT,2003,289597,163527,536150,379185,75963,276298,0,0,901710,819010,10252,10520,4782.8,10.19,911962,829530
VA,2003,148815,272055,827937,464353,104,934350,258633,258633,1235489,1929391,104227,110936,17915.2,11.27,1339716,2040327
VT,2003,0,8441,0,25,0,87073,46317,46317,46317,141856,24054,24055,1681.6,14.66,70371,165911
WA,2003,0,255839,97712,118207,0,723154,79360,79360,177072,1176560,829196,834753,13364.5,11.5,1006268,2011313
WI,2003,0,397869,0,488239,0,579881,127310,127310,127310,1593299,115460,118300,14266.3,11.32,242770,1711599
WV,2003,212496,135367,3524504,978415,8590,211544,0,0,3745590,1325326,19809,21237,4669.7,9.68,3765399,1346563
WY,2003,1714636,120433,6551331,493897,307226,159203,0,0,8573193,773533,12064,11638,2483.4,8.8,8585257,785171
US,2003,21943403,22822564,22054837,22322634,11959565,38713457,7959622,7959622,63917427,91818277,5942366,5944059,755070.3,11.44,69859793,97762336
AK,2004,543764,407944,23587,14075,1928158,334121,0,0,2495509,756140,18416,18876,4148.2,11.07,2513925,775016
AL,2004,348224,391927,531179,853917,43169,609981,329898,329898,1252470,2185723,290697,293280,15099.3,11.27,1543167,2479003
AR,2004,189912,217921,157,270210,39133,361081,161111,161111,390313,1010323,112915,112971,8491.9,11.96,503228,1123294
AZ,2004,337,356264,278231,425413,313,558357,293158,293158,572039,1633192,81376,82473,13848.2,15.36,653415,1715665
CA,2004,356787,2462247,0,68909,1392800,3670782,315634,315634,2065221,6517572,697459,768889,89950.2,15.17,2762680,7286461
CO,2004,1149273,440720,889060,390186,130686,490984,0,0,2169019,1321890,22469,29099,11807.9,12.48,2191488,1350989
CT,2004,0,165862,0,43997,0,451366,172470,172470,172470,833695,30189,42965,10599.9,15.94,202659,876660
DC,2004,0,33097,0,741,0,30534,0,0,0,64372,942,943,1714.9,16.74,942,65315
DE,2004,0,49722,0,53599,0,127465,0,0,0,230786,1435,1436,2439.8,14.01,1435,232222
FL,2004,4374,757672,0,699055,16843,2095087,325516,325516,346733,3877330,179754,179495,41130.8,15.21,526487,4056825
GA,2004,0,406436,0,834991,0,1079645,351921,351921,351921,2672993,226890,226761,25535.2,12.42,578811,2899754
HI,2004,0,155,0,17913,0,282864,0,0,0,300932,13768,13786,4024.6,17.73,13768,314718
IA,2004,0,198017,0,443221,0,414787,51399,51399,51399,1107424,174335,111271,10009.4,11.9,225734,1218695
ID,2004,0,78273,0,12336,0,156496,0,0,0,247105,112379,112080,3740.4,11.68,112379,359185
IL,2004,242,955972,722774,1069538,63707,1285139,959869,959869,1746592,4270518,154365,126588,33593.6,12.47,1900957,4397106
IN,2004,3432,526391,786209,1614210,10179,865025,0,0,799820,3005626,54883,58085,20730.1,10.19,854703,3063711
KS,2004,456781,260117,1665,385498,196498,412120,105664,105664,760608,1163399,28341,19571,8795.6,12.56,788949,1182970
KY,2004,100915,233361,2845496,961759,14778,703989,0,0,2961189,1899109,69142,71188,13524,11.08,3030331,1970297
LA,2004,1609900,1393140,51659,256716,482978,2065896,178110,178110,2322647,3893862,185640,189772,28745.7,10.12,2508287,4083634
MA,2004,0,383625,0,105075,0,736401,61928,61928,61928,1287029,51070,51781,17815.8,16.33,112998,1338810
MD,2004,35,201801,129130,327239,0,590242,152043,152043,281208,1271325,53425,53460,14113.4,13.87,334633,1324785
ME,2004,0,89581,0,7336,0,260353,0,0,0,357270,136769,136776,4655.4,12.55,136769,494046
MI,2004,271801,938628,0,773825,34516,979694,318700,318700,625017,3010847,108765,118153,26772.5,12.14,733782,3129000
MN,2004,0,362346,0,378775,0,688025,138645,138645,138645,1567791,125527,114862,15167.2,12.14,264172,1682653
MO,2004,0,268289,12385,807466,510,744126,81658,81658,94553,1901539,40841,44121,16239.4,12.71,135394,1945660
MS,2004,87181,290512,36619,184992,111604,480422,106707,106707,342111,1062633,61251,61297,9494.9,12.56,403362,1123930
MT,2004,100261,68567,721570,195620,143364,176136,0,0,965195,440323,101507,101639,3173,12.37,1066702,541962
NC,2004,0,232214,0,782692,0,930984,418065,418065,418065,2363955,139795,147627,23221.1,13.92,557860,2511582
ND,2004,68399,56410,392966,398381,180682,133016,0,0,642047,587807,25922,24137,2537.8,8.77,667969,611944
NE,2004,1489,116006,0,223624,14535,233553,106796,106796,122820,679979,91627,52142,5404.9,12.21,214447,732121
NH,2004,0,63829,0,43446,0,205481,106132,106132,106132,418888,34923,34926,3948.8,15.58,141055,453814
NJ,2004,0,644467,0,112707,0,1164799,282407,282407,282407,2204380,27231,27603,26164.3,14.31,309638,2231983
NM,2004,1828178,229164,510869,309418,374199,255866,0,0,2713246,794448,12326,11714,5203.6,13.56,2725572,806162
NV,2004,5,221648,0,193634,2685,260161,0,0,2690,675443,34321,38001,7056,15.68,37011,713444
NY,2004,47247,1126597,0,276470,986,1823746,423797,423797,472030,3650610,358876,383432,48172.5,15.67,830906,4034042
OH,2004,94628,862397,568593,1391290,33541,1303260,166328,166328,863090,3723275,51267,66807,34592.2,12.84,914357,3790082
OK,2004,1838548,555273,41850,372093,371067,526834,0,0,2251465,1454200,62058,62153,11306.6,12.33,2313523,1516353
OR,2004,473,238049,0,36460,0,368456,0,0,473,642965,384622,387006,9090.6,13.21,385095,1029971
PA,2004,206085,723189,1600275,1474310,13897,1475233,807739,807739,2627996,4480471,110371,118023,35785.3,13.13,2738367,4598494
RI,2004,0,74352,0,76,0,98408,0,0,0,172836,3846,4535,2637.9,16.01,3846,177371
SC,2004,0,169518,0,433868,0,569746,533920,533920,533920,1707052,97431,97441,13170.8,12.4,631351,1804493
SD,2004,1095,41757,0,43562,7871,113059,0,0,8966,198378,83757,60251,2355.8,12.8,92723,258629
TN,2004,2169,238761,73354,648005,2094,765424,298369,298369,375986,1950559,185184,179906,17442,12.17,561170,2130465
TX,2004,5764490,4039787,572489,1626029,2277741,6161669,421660,421660,9036380,12249145,120812,123497,98235.3,11.41,9157192,12372642
UT,2004,297852,164154,490146,399704,85515,277475,0,0,873513,841333,10581,10715,5653.1,11.39,884094,852048
VA,2004,88073,285607,817769,452557,110,995785,295272,295272,1201224,2029221,110959,117963,21026.2,12.67,1312183,2147184
VT,2004,0,8708,0,25,0,95317,40231,40231,40231,144281,22039,22042,1988.3,15.96,62270,166323
WA,2004,0,269572,89958,112539,0,749526,93660,93660,183618,1225297,817635,819551,15460,13.06,1001253,2044848
WI,2004,0,385999,0,499212,0,606012,123966,123966,123966,1615189,108745,108704,16025.9,12.75,232711,1723893
WV,2004,222720,129358,3724793,937062,10063,230361,0,0,3957576,1296781,19228,20765,5385.5,10.85,3976804,1317546
WY,2004,1772333,111878,6908962,500526,301252,153076,0,0,8982547,765480,14434,14039,2859.7,10.31,8996981,779519
