state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
OR,2003,740,215102,0,44884,0,358058,0,0,384479,386713,7962.9,11.97
PA,2003,167346,717461,1599175,1461986,14303,1446911,774989,774989,109946,110613,32032.2,11.81
RI,2003,0,80339,0,101,0,102986,0,0,3787,3827,2400.1,14.28
SC,2003,0,151904,0,419663,0,495840,525453,525453,103796,103801,11025,11.1
SD,2003,1104,43868,0,43017,7175,112417,0,0,67639,57222,2085.8,11.17
TN,2003,1862,265806,65617,621425,1804,755961,251718,251718,190000,184237,15251.3,10.63
TX,2003,5902223,4177143,594734,1603971,2323851,5978967,348485,348485,115456,117593,83176.3,9.76
UT,2003,289597,163527,536150,379185,75963,276298,0,0,10252,10520,4782.8,10.19
VA,2003,148815,272055,827937,464353,104,934350,258633,258633,104227,110936,17915.2,11.27
VT,2003,0,8441,0,25,0,87073,46317,46317,24054,24055,1681.6,14.66
WA,2003,0,255839,97712,118207,0,723154,79360,79360,829196,834753,13364.5,11.5
WI,2003,0,397869,0,488239,0,579881,127310,127310,115460,118300,14266.3,11.32
WV,2003,212496,135367,3524504,978415,8590,211544,0,0,19809,21237,4669.7,9.68
WY,2003,1714636,120433,6551331,493897,307226,159203,0,0,12064,11638,2483.4,8.8
US,2003,21943403,22822564,22054837,22322634,11959565,38713457,7959622,7959622,5942366,5944059,755070.3,11.44
AK,2004,543764,407944,23587,14075,1928158,334121,0,0,18416,18876,4148.2,11.07
AL,2004,348224,391927,531179,853917,43169,609981,329898,329898,290697,293280,15099.3,11.27
AR,2004,189912,217921,157,270210,39133,361081,161111,161111,112915,112971,8491.9,11.96
AZ,2004,337,356264,278231,425413,313,558357,293158,293158,81376,82473,13848.2,15.36
CA,2004,356787,2462247,0,68909,1392800,3670782,315634,315634,697459,768889,89950.2,15.17
