state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
CO,2013,1799439,480875,529096,363532,384070,464287,0,0,119366,122946,19887.4,21.18
CT,2013,0,240102,0,7679,0,307661,178465,178465,30055,42952,15331.2,27.79
DC,2013,0,33725,0,4,0,18790,0,0,309,1179,2218.3,24.71
DE,2013,0,100682,0,18254,0,101393,0,0,3803,7619,3975.1,24.05
FL,2013,297,1245287,0,505155,12609,1588920,277169,277169,234151,301827,67935.3,25.11
GA,2013,0,634635,0,426184,0,975666,343801,343801,248877,284011,42706.8,21.46
HI,2013,0,197,0,15306,0,260346,0,0,22775,25989,8214.8,37.07
IA,2013,0,306419,0,402402,0,415110,55597,55597,705183,389728,16792.6,17.22
ID,2013,0,107089,0,7965,0,157372,0,0,140184,140544,7068.8,20.24
IL,2013,2933,1063511,1149607,1026925,55326,1169110,1014926,1014926,355728,268752,48730.1,18.37
IN,2013,8057,680051,883260,1198611,13914,721544,0,0,213708,157896,33172.4,17.97
KS,2013,321465,288274,541,326817,271707,338696,74902,74902,154217,132989,13785.4,21.15
KY,2013,106732,235703,1940060,914774,13369,582930,0,0,80673,96473,22728.8,20.8
LA,2013,2463608,1504969,38079,228055,418847,1762715,177156,177156,140427,151598,39313.3,15.27
MA,2013,0,435312,0,42208,0,564699,45251,45251,57090,82560,28062.5,26.49
MD,2013,33,206126,45290,183191,0,478356,149048,149048,53544,78496,23324,25.35
ME,2013,0,65886,0,1657,0,182365,0,0,161720,168347,7432.1,21.71
MI,2013,129758,831741,0,658172,45176,831484,302194,302194,188731,208916,40772,20.31
MN,2013,0,478611,0,267695,0,600937,111885,111885,305832,245622,25168.8,19.74
MO,2013,9,281399,9101,806549,1154,601720,87428,87428,110069,97726,26500.5,22.31
MS,2013,60866,426902,37197,97767,139531,364610,113523,113523,64706,76908,14601.2,21.12
MT,2013,67877,82298,753246,166104,169870,172419,0,0,114500,118144,5622.4,22.06
NC,2013,0,445018,0,493771,0,812705,420486,420486,192360,228352,38054.4,23.37
ND,2013,318391,82334,369479,393193,1811624,222215,0,0,125386,98237,7657.3,18.31
NE,2013,1069,179617,0,292956,16286,231611,71736,71736,278161,138417,10319.4,19.34
NH,2013,0,55649,0,16778,0,144512,114173,114173,52904,59059,6144.5,27.68
NJ,2013,0,711999,0,25910,0,878077,348784,348784,49729,86152,37567,23.84
NM,2013,1331404,252867,400228,256377,596176,232460,0,0,39674,46411,9071.8,23.62
NV,2013,3,282245,0,64838,1937,268244,0,0,66544,74096,11296.3,22.81
NY,2013,24232,1315282,0,68707,2123,1330482,467651,467651,380811,418075,68137.6,24.72
OH,2013,175320,945731,612270,1104486,46620,1053987,168451,168451,155525,160117,48589.3,19.88
OK,2013,2282057,682277,25054,335925,722912,506028,0,0,164988,178059,19298.8,19.73
OR,2013,782,244265,0,38900,0,322313,0,0,463420,472016,14841,22.04
PA,2013,3452918,1175535,1379262,1126118,30757,1181000,822483,822483,200385,235207,54600,21.53
RI,2013,0,88274,0,0,0,82166,0,0,2704,6106,3991.6,26.23
SC,2013,0,236942,0,257319,0,480197,566879,566879,134299,156589,21813.3,21.96
SD,2013,16753,84527,0,34246,10730,112656,0,0,208561,128968,4768,20.24
TN,2013,6240,284750,28376,399768,1937,655891,297732,297732,210044,226381,28975.3,21.64
TX,2013,8825436,4131225,564850,1597357,5384476,5828991,400353,400353,500607,584228,158435.4,18.99
UT,2013,516190,258661,385736,355230,203093,271571,0,0,17181,25011,10936.6,20.66
VA,2013,144400,433438,456766,290508,58,793774,306430,306430,118392,152518,34734,22.12
VT,2013,0,9743,0,0,0,78655,50639,50639,33315,36145,3313.2,28.28
WA,2013,0,327840,0,74955,0,698425,88408,88408,928039,942926,26479.2,21.53
WI,2013,0,454050,0,454554,0,510487,121994,121994,206356,188808,24877.7,20.27
WV,2013,832674,152880,2874653,771188,41986,195225,0,0,53863,61073,9175.9,20.63
WY,2013,2050835,156110,6760447,520699,368172,161686,0,0,53125,54820,5545.8,18.42
US,2013,28421429,26788768,19901802,18038771,15871833,34398415,8244433,8244433,9438028,9464268,1376402.2,21.42
AK,2014,381937,329274,22944,18225,1050554,226102,0,0,19788,22760,6875.7,24.95
AL,2014,195614,650570,414366,575912,57020,490328,431368,431368,270744,293890,24079.7,18.62
AR,2014,1142667,273009,1864,339214,39295,325319,151428,151428,119827,131625,13916.4,18.86
AZ,2014,109,315916,173337,447849,325,543552,338044,338044,120267,139836,23613.1,25.51
CA,2014,271757,2409574,0,39486,1187643,3083503,177656,177656,750692,903692,136011.3,25.65
CO,2014,1848761,497182,528242,350526,554834,480827,0,0,126925,131177,20433.4,21.33
CT,2014,0,242227,0,9097,0,308514,165677,165677,32675,45472,15590.1,27.96
DC,2014,0,35302,0,48,0,20118,0,0,344,1313,2325.7,24.92
DE,2014,0,107051,0,10238,0,103067,0,0,4224,8064,3994,23.68
FL,2014,858,1241250,0,557882,12917,1613839,291474,291474,231320,298010,68555.7,24.99
GA,2014,0,664808,0,482657,0,948453,340652,340652,267186,297134,42586,21.14
HI,2014,0,167,0,17241,0,250169,0,0,24423,27996,7769.9,36.24
IA,2014,0,311352,0,401151,0,424219,43431,43431,726955,406807,17467.7,17.64
ID,2014,0,93610,0,7472,0,162438,0,0,156026,155787,7145.6,20.64
IL,2014,2044,1108134,1293541,1017855,55367,1197140,1023496,1023496,368785,278073,51697.8,18.88
IN,2014,6742,723942,886370,1221492,14541,734901,0,0,226986,162947,33963.9,18.05
KS,2014,317646,291483,1474,316572,287204,356192,89512,89512,179678,151818,14500.1,21.21
KY,2014,105319,262278,1869335,913452,15231,580146,0,0,81704,96645,22224.6,20.43
LA,2014,2068200,1547176,35541,209973,401203,1698933,181059,181059,169820,173371,39452.9,15.12
MA,2014,0,432523,0,29871,0,563978,60340,60340,62217,87252,28161.3,26.51
MD,2014,21,217227,46194,201220,0,484711,150017,150017,53164,77492,23493.6,25.12
ME,2014,0,62423,0,2142,0,185791,0,0,157449,164138,7571.3,22.72
MI,2014,120152,878128,0,618479,43065,847600,326800,326800,202663,221483,40786.7,19.84
MN,2014,0,490111,0,313073,0,602446,132904,132904,340458,273992,25728,19.6
MO,2014,3,301368,8206,780707,1137,614721,97021,97021,113126,98934,26626.3,21.72
MS,2014,56686,439557,39072,116537,141491,367502,107228,107228,64569,78055,14935.6,20.97
MT,2014,63185,80063,790673,175357,173397,168456,0,0,134132,137730,5575.7,21.86
NC,2014,0,462289,0,501592,0,834289,428474,428474,173981,209090,38436.3,23.11
ND,2014,437170,89095,389673,399195,2288796,236320,0,0,138427,111219,8219.4,18.38
NE,2014,435,179705,0,276544,17690,234466,105655,105655,307736,155904,10356.8,19.26
NH,2014,0,58785,0,14867,0,155001,106350,106350,55536,61731,6443,27.78
NJ,2014,0,805145,0,30731,0,856154,329533,329533,54087,91005,37180,23.14
NM,2014,1397847,256056,400158,215348,725354,240408,0,0,41707,48148,9213.6,23.69
NV,2014,3,261902,0,79230,1833,275622,0,0,67511,76197,11516.3,23.17
NY,2014,20847,1392378,0,64655,2065,1382080,450141,450141,397898,437667,70093.4,24.49
OH,2014,590622,1058802,541830,1057377,87528,1062667,170319,170319,167121,163389,50278,19.76
OK,2014,2669289,667360,20607,336080,872900,535307,0,0,163016,177919,20395.4,19.92
OR,2014,1175,226472,0,34238,0,325766,0,0,485321,495029,14802.8,22.11
PA,2014,4521340,1304080,1566449,1039161,39724,1207164,823277,823277,197387,232509,55800.9,21.29
RI,2014,0,91374,0,0,0,86353,0,0,4421,7902,4218.1,26.58
SC,2014,0,236040,0,305656,0,479576,548246,548246,136998,158548,22132.2,21.91
SD,2014,15968,83919,0,33062,10428,114520,0,0,221729,140135,4877.4,20.37
TN,2014,6010,313887,21711,427509,1914,672629,289401,289401,178923,194804,29650.5,21.4
TX,2014,9366356,4060590,576803,1585961,6728563,5803534,410907,410907,545598,634054,160438.6,18.84
UT,2014,501322,251649,410997,344054,237272,274435,0,0,22233,29679,10856.2,21.01
VA,2014,139809,438697,393225,278183,81,830111,316081,316081,135885,167411,35309.3,21.78
VT,2014,0,10853,0,0,0,79824,52929,52929,32830,35555,3305.1,27.7
WA,2014,0,320167,0,76547,0,681853,99332,99332,940851,957292,25674.1,21.17
WI,2014,0,479396,0,417096,0,543179,98807,98807,216590,195664,26491.1,20.66
WV,2014,1246092,180222,2858022,816460,59914,193011,0,0,50017,57169,9021,20.08
WY,2014,1982353,142268,6880205,489300,441328,171012,0,0,54140,56015,5863.4,18.79
US,2014,30872950,27376838,20170837,17996577,18615622,34658248,8337559,8337559,9797648,9761070,1395430.4,21.33
AK,2015,380887,333936,17747,19511,1007501,235839,0,0,23798,23819,5552.3,19.06
AL,2015,182481,701582,331420,494311,55421,511742,438728,438728,258906,284365,19990.1,15.69
AR,2015,1031466,296826,1819,226889,35611,314414,144716,144716,117822,129264,11171.7,15.86
AZ,2015,99,365313,146450,385822,212,557369,340153,340153,128895,149031,20744.8,21.89
CA,2015,271086,2384061,0,30967,1150741,3201112,193529,193529,737985,911138,120161.2,22.14
CO,2015,1965188,490642,403605,340107,698595,479850,0,0,126538,133682,16387.9,17.21
CT,2015,0,260925,0,6536,0,313997,182083,182083,33232,46764,13126.1,23.3
DC,2015,0,33654,0,44,0,20423,0,0,824,1831,2144.8,23.11
DE,2015,0,107819,0,7149,0,109009,0,0,3516,7744,3485.9,19.74
FL,2015,1162,1378089,0,466530,12623,1695087,294099,294099,223760,293757,57721.4,20.22
GA,2015,0,712580,0,394665,0,997508,353883,353883,269498,300896,34957.9,17.1
HI,2015,0,196,0,15632,0,254200,0,0,24949,29420,5906.4,27.11
IA,2015,0,302936,0,348293,0,415141,54836,54836,766767,429835,13413.7,13.93
ID,2015,1192,107871,0,4249,172,175254,0,0,153447,154481,6132.7,16.87
IL,2015,2210,1011357,1252879,850430,54426,1245106,1017377,1017377,355305,270570,40674.6,15.54
IN,2015,7446,735055,776493,1007472,12686,750409,0,0,242116,173327,27479.6,14.99
KS,2015,318548,280421,4387,273416,260015,340937,90254,90254,177319,149870,11241.5,17.01
KY,2015,108080,276867,1486019,796484,16362,590257,0,0,75302,89402,17478.3,16.37
LA,2015,1916410,1594207,46879,174221,364390,1716529,160015,160015,154626,158287,27743.2,10.55
MA,2015,0,457124,0,24177,0,577821,52236,52236,62775,88979,24085.8,22.34
MD,2015,40,225969,45587,165994,0,499114,153140,153140,47601,73185,19705.1,21.02
ME,2015,0,54203,0,2588,0,194972,0,0,161394,168574,6041.1,17.95
MI,2015,114061,871834,0,617280,37521,864500,306773,306773,223202,239503,33018.3,16.43
MN,2015,0,448557,0,271570,0,595108,125900,125900,345895,278624,19772.5,16.13
MO,2015,1,270885,3178,696401,852,622945,109182,109182,105621,95606,21688,18.28
MS,2015,60476,536996,34528,71626,142485,377952,122511,122511,60419,74223,12110.3,16.96
MT,2015,55943,77443,746222,178421,163249,165080,0,0,124959,129412,4384.2,17.66
NC,2015,0,516026,0,405525,0,857023,440248,440248,169977,206845,31788.5,19
ND,2015,678977,100852,392183,408091,2456155,193722,0,0,141705,109747,5552.9,13.73
NE,2015,504,170346,0,266319,15419,234270,107976,107976,317134,164543,8165.8,15.54
NH,2015,0,70742,0,10989,0,152764,99186,99186,61334,67603,5285.3,22.56
NJ,2015,0,778866,0,22925,0,877467,347851,347851,45194,81586,29753.6,18.96
NM,2015,1436329,260038,357525,215703,846659,237701,0,0,38796,48909,7238.3,18.65
NV,2015,4,312602,0,36635,1606,266639,0,0,75331,85212,9664.9,19.43
NY,2015,17879,1396693,0,41241,1635,1383266,466457,466457,408986,448392,56789.5,19.83
OH,2015,1171552,1031716,417682,865714,153490,1081188,181726,181726,164895,157489,40888.4,16.56
OK,2015,2880137,711393,17422,280748,949331,521667,0,0,187115,203058,15942.3,16.05
OR,2015,889,245897,0,26515,0,323140,0,0,438751,451541,12671.7,18.94
PA,2015,5119772,1313350,1278078,878829,40522,1187148,842044,842044,200503,235433,44887.5,17.74
RI,2015,0,96514,0,0,0,86112,0,0,4886,8469,3578.1,22.6
SC,2015,0,284013,0,241217,0,511425,555909,555909,128605,151230,18598,18.05
SD,2015,614,83370,0,19616,9507,115692,0,0,225463,138038,3847.4,16.3
TN,2015,4959,322468,23192,370650,1692,687482,261037,261037,181970,196878,23962.5,17.44
TX,2015,9392314,4263856,471257,1340422,7213608,6022376,411571,411571,582776,672832,119292.2,13.69
UT,2015,461219,242848,325216,330043,212307,276308,0,0,23983,33778,8894.3,17.22
VA,2015,134220,526314,365832,232427,63,834674,293455,293455,137583,169053,28475.7,17.67
VT,2015,0,12245,0,0,0,81888,0,0,38777,41531,2692.3,21.34
WA,2015,0,327738,0,58273,0,732667,85347,85347,871925,891733,21868.1,17.44
WI,2015,0,476969,0,408189,0,534079,104666,104666,223862,200490,20771.2,16.97
WV,2015,1562536,191059,2447181,730949,66157,189690,0,0,37940,44994,7249.2,16.88
WY,2015,1998295,126421,6538240,487177,494269,158389,0,0,49864,52372,4447,14.88
US,2015,32717205,28179686,17931020,15548985,19701840,35368448,8336886,8336886,9765932,9749471,1128447.4,17.31
AK,2016,369865,330883,13942,16613,1026401,219837,0,0,25148,26254,4561.4,17
AL,2016,176290,715033,247632,410168,46417,538953,417334,417334,230706,259513,19230,14.85
AR,2016,839485,315617,974,246437,31580,322808,140370,140370,115405,127831,10292.2,14.62
AZ,2016,49,373916,116678,323878,46,576213,338636,338636,138469,162028,19581.3,20.11
CA,2016,234094,2248939,0,32077,1064744,3315378,197754,197754,932965,1116287,111275.5,20.16
CO,2016,1981005,464749,270920,321476,663712,482014,0,0,149550,158875,15097.4,15.75
CT,2016,0,254652,0,2340,0,296001,173363,173363,34246,47868,11748.8,21.89
DC,2016,0,30160,0,34,0,19489,0,0,1107,2193,1983.6,22.36
DE,2016,0,113552,0,8199,0,110248,0,0,3105,7597,3187.1,18.16
FL,2016,1062,1414358,0,426188,11066,1738523,306658,306658,223400,290005,53459.1,18.42
GA,2016,0,727336,0,399279,0,971869,360633,360633,282316,298214,32344.2,16.16
HI,2016,0,162,0,16431,0,252070,0,0,27586,32368,5215.5,23.95
IA,2016,0,317115,0,298006,0,424923,49185,49185,801736,452667,12684.6,12.93
ID,2016,5208,110344,0,2432,1230,176049,0,0,151461,153289,5717.5,15.48
IL,2016,2317,1045034,977131,702467,49432,1247540,1031331,1031331,375095,276545,37622.1,14.56
IN,2016,6441,779945,654493,948386,10397,726396,0,0,257436,183792,24910.2,13.78
KS,2016,281646,276404,617,253121,217116,342440,86245,86245,205743,179062,10522.7,16.02
KY,2016,102591,279935,1041121,736584,14849,600376,0,0,76957,91858,16181.7,15.26
LA,2016,1893803,1718305,38499,140513,328632,1700751,179391,179391,182727,176181,25055.2,9.33
MA,2016,0,440725,0,20115,0,558903,56628,56628,65604,93041,21535.8,20.61
MD,2016,36,229508,37859,162931,0,473740,154377,154377,48227,73766,17893.2,19.85
ME,2016,0,54509,0,2194,0,186072,0,0,141924,150107,5272,16.8
MI,2016,108450,926828,0,471236,32312,880277,329999,329999,216648,234596,30950.2,15.57
MN,2016,0,466365,0,261250,0,617809,144970,144970,351258,282936,18614.1,14.84
MO,2016,1,273583,5125,639860,704,619747,98630,98630,105865,94312,19938.8,17.22
MS,2016,50418,561342,32349,61219,116649,386987,61680,61680,78133,76967,10942.9,15.43
MT,2016,52130,77589,572787,161938,132619,166880,0,0,128046,132767,4027.8,15.97
NC,2016,0,540271,0,381761,0,878993,447500,447500,199488,222384,29950.8,17.63
ND,2016,766865,105625,399856,394579,2161880,164552,0,0,162594,125731,4618.8,12.39
NE,2016,557,172929,0,240465,12560,232829,97798,97798,330900,168536,7557.4,14.31
NH,2016,0,59638,0,5277,0,146737,112551,112551,56283,62838,4718.4,20.97
NJ,2016,0,793928,0,17455,0,888468,312569,312569,46537,85369,27341.1,17.63
NM,2016,1422598,259158,246549,197083,839040,235515,0,0,54803,64769,6475.7,16.83
NV,2016,3,316653,0,30765,1585,289383,0,0,88551,99674,8753,16.64
NY,2016,13942,1336455,0,29679,1287,1382206,434791,434791,412865,454021,50926.5,18.1
OH,2016,1647241,994162,309088,825311,124270,1082887,175893,175893,166674,159177,37637.4,15.6
OK,2016,2864577,736164,14440,221842,887745,520186,0,0,243478,260290,13902,14.06
OR,2016,848,249829,0,19440,0,327835,0,0,467942,482943,11788.8,17.36
PA,2016,5525743,1354340,1168609,734838,35888,1138129,867302,867302,196747,230921,39790.6,16.63
RI,2016,0,88471,0,0,0,74342,0,0,4700,8267,3018.2,21.25
SC,2016,0,284225,0,221865,0,522302,583883,583883,131034,150318,17748.6,17.07
SD,2016,511,85021,0,26660,8045,113289,0,0,237255,149018,3526,15.01
TN,2016,4180,336341,16596,379775,1471,702677,309357,309357,154155,170822,22388.5,16.17
TX,2016,8659990,4151065,515707,1323111,6687279,6175136,440109,440109,708954,820815,110577.8,12.53
UT,2016,401909,250199,310453,269016,174681,285349,0,0,36548,47601,8396.6,15.76
VA,2016,126663,572103,335590,222938,40,844901,310966,310966,139800,167391,26281.8,16.26
VT,2016,0,12383,0,0,0,77727,0,0,35631,38701,2404.1,19.91
WA,2016,0,324929,0,53302,0,800690,100674,100674,930433,948976,21129.8,15.89
WI,2016,0,501042,0,357335,0,524098,106173,106173,224231,200299,19155.2,15.76
WV,2016,1667404,188491,2041073,751957,43693,199199,0,0,39641,47885,7145.2,16.45
WY,2016,1878141,132478,5169939,457315,415749,152624,0,0,54543,58491,3990.8,13.28
US,2016,32428188,28392790,14538027,14227138,18529003,35712347,8426753,8426753,10477348,10408644,1038883.6,15.95
AK,2017,382940,343899,14365,16376,1033270,216452,0,0,23611,24447,5040.3,18.98
AL,2017,159686,681208,326748,378890,39100,530370,446097,446097,258502,285081,20444.4,15.97
AR,2017,708482,317530,832,267591,30263,321210,132736,132736,116677,121635,11281.4,15.76
AZ,2017,58,334629,134024,334512,74,583258,338246,338246,149421,172736,21227,21.8
CA,2017,240221,2190994,0,33663,992385,3392689,187227,187227,1127237,1314777,123245.3,21.97
CO,2017,2028824,462135,320001,315835,743744,489738,0,0,153315,162034,16603.3,17.2
CT,2017,0,246532,0,2507,0,299249,172570,172570,32884,46758,12562.3,23.18
DC,2017,0,30607,0,30,0,16915,0,0,1316,2257,1966.1,23.03
DE,2017,0,103121,0,4804,0,112654,0,0,3268,7912,3451.5,19.75
FL,2017,1048,1421271,0,407538,11005,1757690,304840,304840,236660,306615,58778.2,20.05
GA,2017,0,709671,0,344273,0,1028148,352560,352560,274993,293604,35500.7,17.58
HI,2017,0,163,0,14948,0,262205,0,0,26953,32003,5843.1,26.1
IA,2017,0,376298,0,300287,0,409164,54528,54528,836979,473227,13942.6,13.7
ID,2017,4192,115899,0,2615,521,176634,0,0,172940,174569,6336.1,16.62
IL,2017,2260,1034583,1079624,685000,47581,1251487,1016522,1016522,378543,286646,40718.8,15.86
IN,2017,6168,747919,713397,929271,10181,700249,0,0,260410,183807,26752.3,15.15
KS,2017,257200,279097,0,216747,205026,335329,111367,111367,248526,219766,11179.3,17.3
KY,2017,101295,296673,1015108,639356,14176,577856,0,0,89626,103410,17352.6,16.72
LA,2017,2238355,1716392,27892,142267,295009,1814440,161171,161171,170254,161570,29672,10.51
MA,2017,0,462406,0,12407,0,561908,52788,52788,68449,95856,23336,22.04
MD,2017,34,232723,42804,106973,0,470666,158004,158004,55321,80822,18935.6,21.22
ME,2017,0,45125,0,2168,0,181420,0,0,148008,155506,5593.2,18.24
MI,2017,102619,908197,0,499439,31848,869880,338675,338675,225883,238177,32708.1,16.5
MN,2017,0,466884,0,257594,0,611526,145426,145426,363438,293528,20488.7,16.24
MO,2017,1,264614,5321,709796,664,611040,86853,86853,116820,102440,21324.2,18.68
MS,2017,39719,543721,32019,53779,101772,384318,77027,77027,71031,71848,11882.3,16.73
MT,2017,50821,83319,624772,156073,118586,172427,0,0,136183,140885,4591.4,17.17
NC,2017,0,520659,0,350286,0,885764,443192,443192,215530,240022,31618.3,18.68
ND,2017,857330,112146,394022,397875,2235427,184122,0,0,212016,165938,5414.8,13.51
NE,2017,483,175613,0,233809,11978,233348,72300,72300,355937,186969,8261.5,15.53
NH,2017,0,53633,0,3617,0,152656,104493,104493,59861,66803,5187.4,22.26
NJ,2017,0,734147,0,16488,0,858632,355948,355948,45589,83836,28988,19.16
NM,2017,1506770,249357,257710,199114,986519,249356,0,0,67377,78080,7366.2,18.8
NV,2017,3,305309,0,27297,1637,306479,0,0,98078,109544,9854.1,17.99
NY,2017,11760,1276905,0,19553,1105,1378849,441029,441029,447501,490642,55246.9,19.53
OH,2017,2009410,1014299,233560,810953,113058,1073983,184997,184997,167026,156232,39957,16.7
OK,2017,2936597,692145,12590,198309,949326,544537,0,0,274720,290968,15549.7,15.37
OR,2017,700,262532,0,18723,0,335127,0,0,501216,516930,13064.7,18.35
PA,2017,5769945,1404240,1260516,669540,37554,1151732,870187,870187,204915,240496,43377.7,17.94
RI,2017,0,94730,0,0,0,75184,0,0,5966,9567,3213.3,22.29
SC,2017,0,287408,0,192751,0,524166,568390,568390,132523,152847,18951.5,18.25
SD,2017,531,85339,0,26114,7463,112658,0,0,240988,148279,3861.2,16.3
TN,2017,3515,331613,11168,334567,1551,694516,332779,332779,166376,182761,23849.4,17.51
TX,2017,8735219,3987778,474274,1451978,7301999,6286229,403523,403523,810101,915338,125804.9,14.07
UT,2017,346868,231151,317768,274816,197089,294385,0,0,53257,64181,9262.3,16.92
VA,2017,121571,596648,343642,159813,40,847776,319562,319562,140971,167010,28402.6,17.48
VT,2017,0,12281,0,0,0,77379,0,0,37782,40945,2582.4,21.5
WA,2017,0,350872,0,61732,0,769685,85013,85013,949773,967707,23662.5,17.78
WI,2017,0,504808,0,388614,0,523110,100919,100919,224149,198839,20531.1,16.74
WV,2017,1836375,199298,2390309,710445,52102,191481,0,0,41626,49947,7477.9,17.61
WY,2017,1788258,158370,5516757,458496,433489,153755,0,0,55888,59425,4407.1,14.51
US,2017,33468883,28056891,15549225,13839632,19550489,36043829,8418968,8418968,11259473,11138359,1136379.4,17.32
AK,2018,375279,346255,13752,17325,997415,215613,0,0,24147,24996,5834,22.2
AL,2018,149607,771194,370533,377152,33591,518687,412584,412584,279491,301170,21948.7,16.7
AR,2018,600455,366939,0,304145,28553,326432,132996,132996,126101,124834,12447.8,16.45
AZ,2018,44,400531,140759,331492,57,590247,325122,325122,155979,179533,23684.9,23.98
CA,2018,228906,2209801,0,33256,916715,3409954,190422,190422,1031998,1213958,137350.6,24.45
CO,2018,2217310,518088,293149,284474,965227,512429,0,0,156918,165952,18719.6,18.5
CT,2018,0,285991,0,4023,0,316551,176496,176496,37564,49572,14207.4,24.87
DC,2018,0,32623,0,37,0,19017,0,0,1603,2661,2146.5,23.57
DE,2018,0,99416,0,4296,0,119451,0,0,3388,8035,3896.7,20.74
FL,2018,1123,1511134,0,327807,10493,1843337,306461,306461,246965,314801,64957.3,21.41
GA,2018,0,759205,0,340152,0,998463,359262,359262,288259,303573,37670.1,18.35
HI,2018,0,192,0,14367,0,261466,0,0,26286,31126,6828.7,30.36
IA,2018,0,431513,0,325673,0,418691,51181,51181,865649,478666,15664.2,14.62
ID,2018,2113,115833,0,2823,502,180666,0,0,178848,180196,6947.6,18.14
IL,2018,2596,1127424,1095887,704574,48045,1254095,1025651,1025651,359743,277668,45014.8,16.8
IN,2018,5292,890433,781628,985668,9609,703718,0,0,271211,190075,29509.8,15.85
KS,2018,237402,321809,0,227665,198084,343686,95854,95854,253451,222816,12584.9,18.32
KY,2018,96085,356673,955471,655909,12924,601468,0,0,90204,103816,19701.7,17.92
LA,2018,2942607,1865382,20436,137818,274384,1729715,179330,179330,172942,160945,32728.9,11.6
MA,2018,0,452093,0,101,0,576328,46437,46437,75268,101071,27101.5,24.78
MD,2018,14,312824,30464,124191,0,477626,156699,156699,65935,90288,20383.8,22.08
ME,2018,0,48370,0,2113,0,171062,0,0,149399,155760,6140.9,20.16
MI,2018,95841,1010919,0,506105,31446,896217,318655,318655,237119,247124,36285.8,17.46
MN,2018,0,514172,0,261530,0,624491,152657,152657,366361,296986,22766.6,17.39
MO,2018,1,330552,5654,668188,548,619352,111401,111401,131320,110649,23749.8,19.56
MS,2018,36499,591886,31979,60015,96734,380952,72343,72343,76637,74057,13102.2,17.96
MT,2018,47712,90778,684031,152295,123027,171531,0,0,142936,147563,5088.3,18.56
NC,2018,0,599308,0,325121,0,906189,439915,439915,248744,270114,35276.1,20.09
ND,2018,993022,130084,399835,407262,2627248,190027,0,0,209106,163255,6210.6,14.95
NE,2018,459,196445,0,264072,11732,239157,58884,58884,359632,190495,9210.8,16.6
NH,2018,0,51471,0,7798,0,155704,105195,105195,56133,62624,5840.9,24.5
NJ,2018,0,799555,0,16732,0,888315,334373,334373,48498,84239,32259.5,20.09
NM,2018,1734539,281322,200179,136824,1421998,257803,0,0,85193,95244,8261.1,19.91
NV,2018,3,310875,0,34996,1455,308260,0,0,105590,117235,11142.3,20
NY,2018,10994,1393657,0,16710,1261,1423244,448718,448718,442779,489219,62257.4,20.99
OH,2018,2652291,1236747,219942,717818,129772,1089761,191483,191483,172886,158726,44050.3,17.43
OK,2018,3346437,842224,15121,171280,1148646,541278,0,0,308412,324177,17126.4,16.2
OR,2018,529,271311,0,16911,0,339590,0,0,486729,502494,14229.4,20.26
PA,2018,6632662,1515912,1278056,644056,36963,1170049,872749,872749,220435,251952,47961.5,18.96
RI,2018,0,104748,0,0,0,82615,0,0,6661,10045,3873.6,24.84
SC,2018,0,338951,0,205204,0,526034,551151,551151,147073,165199,20322,19.15
SD,2018,494,95548,0,27618,7264,115313,0,0,253979,158194,4311.3,17.42
TN,2018,3737,404318,5922,251835,1198,700650,378224,378224,186083,199132,26746.5,18.7
TX,2018,9776991,4596600,328812,1189311,9200206,6720839,430597,430597,901007,1009917,148718.2,15.29
UT,2018,326320,253819,305328,273117,211790,310060,0,0,50329,61286,10437.1,18.46
VA,2018,117273,667004,318949,149349,29,869728,305826,305826,159898,183826,32149.4,19.04
VT,2018,0,14208,0,0,0,75792,0,0,41541,44258,2834.8,23.11
WA,2018,0,334779,0,61166,0,775777,101502,101502,938532,955305,25962.2,19.69
WI,2018,0,565291,0,362077,0,548839,105900,105900,232070,203443,22826.7,17.5
WV,2018,2159553,221402,2468639,661760,72689,216968,0,0,45396,53573,8767.1,18.79
WY,2018,1842525,175639,5315953,455748,501928,159048,0,0,53833,54920,4962.3,15.41
US,2018,37762229,31163246,15280478,13249958,22812423,36892286,8438068,8438068,11579533,11369899,1271930.6,18.61
AK,2019,364363,343384,14867,17620,968358,220818,0,0,22744,23608,5689.3,21.36
AL,2019,138425,748731,350506,317180,27687,529319,455865,455865,278071,298545,21301.9,16.38
AR,2019,534585,371388,0,239798,27538,330550,141750,141750,133487,132189,12055.8,16.07
AZ,2019,68,484249,82222,257727,40,607131,333312,333312,148099,174570,23601.3,23.3
CA,2019,220789,2218732,0,30886,890882,3395439,168799,168799,1154051,1373488,139280.3,24.68
CO,2019,2394039,553842,270466,273338,1095372,526331,0,0,167007,178021,18788.9,17.77
CT,2019,0,293149,0,867,0,304773,174730,174730,37163,48862,13573.3,24.32
DC,2019,0,31603,0,5,0,18555,0,0,2001,3049,2117.5,24.06
DE,2019,0,93442,0,2179,0,120332,0,0,3609,8544,3789.4,19.87
FL,2019,1295,1578269,0,233542,11037,1804514,303946,303946,248018,315365,62678.4,20.79
GA,2019,0,786904,0,273109,0,995857,350759,350759,301803,314211,36579.9,17.95
HI,2019,0,228,0,14179,0,264338,0,0,25256,29839,6731.5,29.48
IA,2019,0,433368,0,266368,0,430621,54671,54671,901797,518892,14989.8,13.89
